publish_date,neg,neu,pos,compound,sentiment
2001-01-02,0.108,0.82,0.072,-0.9426,negative
2001-01-03,0.084,0.817,0.098,0.6322,positive
2001-01-04,0.083,0.844,0.073,-0.5468,negative
2001-01-05,0.103,0.74,0.157,0.9892,positive
2001-01-06,0.118,0.709,0.172,0.4404,positive
2001-01-07,0.096,0.894,0.01,-0.9876,negative
2001-01-08,0.123,0.858,0.018,-0.9898,negative
2001-01-09,0.12,0.836,0.044,-0.9901,negative
2001-01-10,0.227,0.773,0.0,-0.5719,negative
2001-01-23,0.033,0.885,0.082,0.9295,positive
2001-01-24,0.096,0.864,0.04,-0.9039,negative
2001-01-25,0.131,0.793,0.077,-0.9807,negative
2001-01-26,0.065,0.819,0.116,0.8926,positive
2001-01-27,0.079,0.837,0.084,-0.4738,negative
2001-01-28,0.096,0.819,0.085,-0.6476,negative
2001-01-29,0.054,0.812,0.134,0.9708,positive
2001-01-30,0.116,0.802,0.082,-0.7887,negative
2001-01-31,0.096,0.843,0.061,-0.5591,negative
2001-02-01,0.105,0.812,0.083,-0.798,negative
2001-02-02,0.065,0.725,0.209,0.9693,positive
2001-02-03,0.058,0.89,0.051,-0.6734,negative
2001-02-04,0.098,0.792,0.109,0.499,positive
2001-02-05,0.114,0.729,0.157,0.8555,positive
2001-02-06,0.064,0.832,0.104,0.765,positive
2001-02-07,0.062,0.822,0.116,0.811,positive
2001-02-08,0.046,0.826,0.128,0.8924,positive
2001-02-09,0.069,0.777,0.154,0.9647,positive
2001-02-10,0.037,0.895,0.068,0.702,positive
2001-02-11,0.064,0.858,0.078,0.2124,positive
2001-02-12,0.118,0.865,0.017,-0.9368,negative
2001-02-13,0.141,0.744,0.115,-0.5802,negative
2001-02-14,0.05,0.91,0.04,0.6283,positive
2001-02-15,0.07,0.885,0.045,-0.6973,negative
2001-02-16,0.189,0.697,0.114,-0.9583,negative
2001-02-17,0.051,0.825,0.124,0.9031,positive
2001-02-18,0.179,0.715,0.106,-0.9056,negative
2001-02-19,0.15,0.778,0.073,-0.9256,negative
2001-02-21,0.042,0.829,0.129,0.9685,positive
2001-02-22,0.128,0.816,0.055,-0.9496,negative
2001-02-23,0.088,0.8,0.112,0.8448,positive
2001-02-24,0.128,0.785,0.087,-0.8714,negative
2001-02-25,0.109,0.804,0.087,-0.7003,negative
2001-02-26,0.136,0.819,0.045,-0.961,negative
2001-02-27,0.096,0.831,0.073,-0.4588,negative
2001-02-28,0.132,0.794,0.074,-0.9432,negative
2001-03-01,0.04,0.828,0.132,0.9442,positive
2001-03-02,0.0,1.0,0.0,0.0,negative
2001-03-05,0.0,0.392,0.608,0.4767,positive
2001-03-09,0.0,1.0,0.0,0.0,negative
2001-03-11,0.14,0.764,0.096,-0.7908,negative
2001-03-13,0.444,0.556,0.0,-0.1531,negative
2001-03-14,0.073,0.906,0.021,-0.8992,negative
2001-03-15,0.053,0.878,0.069,0.6544,positive
2001-03-16,0.0,1.0,0.0,0.0,negative
2001-03-17,0.0,1.0,0.0,0.0,negative
2001-03-18,0.114,0.847,0.039,-0.9255,negative
